country,survey_start_year,year,lat,lon,GID_1,GID_2,households,rural,iwi
angola,2015,2015,-8.589805000000004,13.640789000000003,AGO.1,AGO.1.2,21,0,62.33445876190476
angola,2015,2015,-8.592545,13.654425,AGO.1,AGO.1.2,19,0,62.76021094736843
angola,2015,2015,-7.852510999999996,13.721997999999996,AGO.1,AGO.1.1,15,1,14.825943733333334
angola,2015,2015,-8.630636000000003,14.924763000000002,AGO.6,AGO.6.4,23,1,8.063970478260869
angola,2015,2015,-8.506762,14.590191999999998,AGO.6,AGO.6.7,19,0,20.50691410526316
angola,2015,2015,-7.861993999999999,13.114573000000004,AGO.1,AGO.1.1,13,0,43.581247
angola,2015,2015,-8.586355,13.656794999999994,AGO.1,AGO.1.2,22,0,65.671143
angola,2015,2015,-8.56921,13.659969999999994,AGO.1,AGO.1.2,18,0,54.90823311111112
angola,2015,2015,-8.532459000000001,14.435204,AGO.6,AGO.6.7,11,1,10.863480545454546
angola,2015,2015,-8.572582999999998,13.665589,AGO.1,AGO.1.2,11,0,72.30219163636364
angola,2015,2015,-8.654540999999998,14.412475,AGO.6,AGO.6.11,17,1,24.18335270588236
angola,2015,2015,-8.582921,13.644828000000002,AGO.1,AGO.1.2,26,0,83.92632934615384
angola,2015,2015,-8.536241000000002,14.507418,AGO.6,AGO.6.7,17,1,8.377867235294119
angola,2015,2015,-8.717116000000003,14.803289000000005,AGO.6,AGO.6.4,24,1,3.669305625
angola,2015,2015,-13.361194000000008,14.130879999999994,AGO.2,AGO.2.7,26,1,2.538707538461538
angola,2015,2015,-13.042308999999994,14.263358,AGO.2,AGO.2.7,22,0,26.48473131818182
angola,2015,2015,-11.970250999999998,14.063478999999994,AGO.2,AGO.2.9,25,1,11.36088868
angola,2015,2015,-12.371357999999995,13.590601999999995,AGO.2,AGO.2.9,21,0,64.86730614285715
angola,2015,2015,-13.179137000000006,13.878191,AGO.2,AGO.2.5,26,1,6.759230692307694
angola,2015,2015,-12.401092000000002,13.577186000000005,AGO.2,AGO.2.9,21,0,51.98212852380952
angola,2015,2015,-12.378420000000004,13.586160000000003,AGO.2,AGO.2.9,22,0,64.92005354545454
angola,2015,2015,-12.589898000000003,13.389090000000005,AGO.2,AGO.2.3,20,0,60.32474525
angola,2015,2015,-12.597102000000003,13.405286999999992,AGO.2,AGO.2.3,23,0,54.58508204347825
angola,2015,2015,-12.538076999999994,13.486179999999996,AGO.2,AGO.2.3,23,0,51.414601695652166
angola,2015,2015,-12.583879000000003,13.400636000000002,AGO.2,AGO.2.3,26,0,75.15781857692308
angola,2015,2015,-12.62094,13.199372000000002,AGO.2,AGO.2.1,24,0,56.60773420833333
angola,2015,2015,-13.592401999999996,13.946597999999996,AGO.2,AGO.2.6,24,0,36.627952416666666
angola,2015,2015,-12.392507999999998,13.558686,AGO.2,AGO.2.9,22,0,60.71966104545456
angola,2015,2015,-13.622158000000008,13.887782,AGO.2,AGO.2.6,25,1,12.846563439999995
angola,2015,2015,-12.665980999999997,13.371871999999998,AGO.2,AGO.2.3,25,0,38.47629671999999
angola,2015,2015,-12.693914000000005,13.278901,AGO.2,AGO.2.1,23,1,6.564440565217393
angola,2015,2015,-12.937288999999998,13.103383000000004,AGO.2,AGO.2.1,23,0,37.49782173913043
angola,2015,2015,-12.608641,13.405403,AGO.2,AGO.2.3,24,0,53.258141250000016
angola,2015,2015,-12.428208000000003,13.557573999999994,AGO.2,AGO.2.9,24,0,60.01878829166666
angola,2015,2015,-12.563492999999996,13.407943999999992,AGO.2,AGO.2.3,25,0,61.156602600000014
angola,2015,2015,-13.313036000000007,14.54873300000001,AGO.2,AGO.2.7,26,1,4.8901823076923066
angola,2015,2015,-12.64765,13.377254999999996,AGO.2,AGO.2.3,19,0,50.612361578947365
angola,2015,2015,-12.586147000000004,13.427716999999996,AGO.2,AGO.2.3,22,0,60.50414304545454
angola,2015,2015,-12.411371,16.925509999999996,AGO.3,AGO.3.8,19,0,62.32504873684211
angola,2015,2015,-12.386492000000002,16.939950000000003,AGO.3,AGO.3.8,20,0,66.11195405
angola,2015,2015,-12.403908,16.916293999999997,AGO.3,AGO.3.8,8,0,41.91996525
angola,2015,2015,-12.379009999999996,16.920537,AGO.3,AGO.3.8,13,0,43.39965684615384
angola,2015,2015,-12.362520000000002,16.941282,AGO.3,AGO.3.8,10,0,32.0714475
angola,2015,2015,-12.517672,17.166619999999998,AGO.3,AGO.3.8,10,1,5.885642000000001
angola,2015,2015,-12.370013,16.958689,AGO.3,AGO.3.8,5,0,47.6498426
angola,2015,2015,-11.867772,18.007724999999997,AGO.3,AGO.3.6,22,1,7.7834495909090915
angola,2015,2015,-12.439372000000002,16.94878,AGO.3,AGO.3.8,9,0,56.06718022222222
